Seller_ID,Seller_Name,Seller_Type,City,Phone,Rating,Total_Listings,Member_Since
1,AutoZone Motors,Dealer,Lahore,0327-5108603,3.4,2,2023
2,CarBazaar Islamabad,Dealer,Lahore,0337-1533224,3.1,4,2019
3,Waqar Sheikh,Individual,Karachi,0344-8038374,3.4,5,2024
4,Rizwan Siddiqui,Individual,Islamabad,0327-3608513,3.4,6,2018
5,Usman Siddiqui,Individual,Multan,0332-5437923,4.6,8,2022
6,Hassan Butt,Individual,Multan,0328-7067228,4.2,2,2018
7,DriveRight Karachi,Dealer,Rawalpindi,0315-4905582,4.7,7,2020
8,Tariq Siddiqui,Individual,Quetta,0332-4514944,4.3,2,2022
9,TrustDrive Pakistan,Dealer,Islamabad,0325-3741438,3.9,5,2023
10,AutoMart Lahore,Dealer,Rawalpindi,0313-4842788,4.6,6,2021
11,TopGear Motors,Dealer,Lahore,0346-6279418,3.4,8,2021
12,CityDrive Autos,Dealer,Faisalabad,0326-3342608,3.5,5,2023
13,Junaid Chaudhry,Individual,Multan,0333-4679591,5,3,2022
14,Ali Ansari,Individual,Lahore,0317-3564251,4.3,7,2022
15,Asif Raza,Individual,Multan,0339-9877065,3.5,1,2023
16,TrustDrive Pakistan,Dealer,Lahore,0327-6707197,3.2,7,2019
17,Faisal Butt,Individual,Karachi,0321-9517485,4.8,5,2024
18,CityDrive Autos,Dealer,Rawalpindi,0333-3710343,4.1,1,2022
19,AutoZone Motors,Dealer,Faisalabad,0317-7089806,4.8,5,2019
20,Junaid Ahmed,Individual,Rawalpindi,0315-9153566,4.6,3,2019
21,TrustDrive Pakistan,Dealer,Faisalabad,0320-5446912,4.1,7,2019
22,Kamran Chaudhry,Individual,Rawalpindi,0333-8350099,4.8,8,2018
23,PakWheels Certified,Dealer,Rawalpindi,0331-1352896,4.2,4,2022
24,PakWheels Certified,Dealer,Karachi,0313-4841005,3.1,1,2024
25,TrustDrive Pakistan,Dealer,Lahore,0325-5672073,4.3,4,2022
26,TopGear Motors,Dealer,Faisalabad,0340-7829332,3.4,2,2023
27,Rizwan Chaudhry,Individual,Quetta,0339-1908841,4.3,2,2018
28,Usman Sheikh,Individual,Quetta,0322-4191175,4.1,3,2021
29,SpeedLink Autos,Dealer,Peshawar,0325-2264748,3.9,2,2018
30,PakWheels Certified,Dealer,Karachi,0325-3790237,3.8,8,2019
